CT,GeoPro,GeoPro_JP,HarPro,HarPro_JP,Value,Value_JP,Profit,Profit_JP,ValGLim,ValGLim_JP,GeoLim,GeoLim_JP,ValHLim,ValHLim_JP,HarLim,HarLim_JP,GeoRank,GeoRank_JP,HarRank,HarRank_JP,Nguong,Nguong_JP,GeoNgn,GeoNgn_JP,HarNgn,HarNgn_JP,ProNgn,ProNgn_JP,Nguong2,Nguong2_JP,GeoNgn2,GeoNgn2_JP,HarNgn2,HarNgn2_JP,ProNgn2,ProNgn2_JP,Nguong_20,Nguong_20_JP,GeoNgn_20,GeoNgn_20_JP,HarNgn_20,HarNgn_20_JP,ProNgn_20,ProNgn_20_JP,Nguong_snp,Nguong_snp_JP,GeoNgn_snp,GeoNgn_snp_JP,HarNgn_snp,HarNgn_snp_JP,ProNgn_snp,ProNgn_snp_JP
-0*0*3-0/4-2/4,1.2586871821144925,1.3511352482678982,0.8827450735556336,1.3370261262618104,-0.011554606586998818,-0.011067281268518551,1.4375,1.009708737864078,-0.01807513169847836,-0.009034059449431408,1.6508811118473026,1.3511352482678982,-0.01807513169847836,-0.009034059449431408,1.4484771018415932,1.3370261262618104,0.5359946605224053,0.8404440441452612,0.2213058748694605,0.8378969252670054,-0.014833978673913322,-0.012063188186817498,1.6508811118473026,1.4134460011113308,1.4484771018415932,1.3821432221644179,0.7696047008547009,1.009708737864078,-0.016785388258675888,-0.01296895617482111,1.631018572289041,1.2542949469536617,1.415282724507881,1.2453620681446689,0.1017094017094017,1.06,-0.01807513169847836,-0.016977749202383315,1.5879920348512797,1.2499456530803408,1.4009085186410546,1.2225308508356878,0.7696047008547009,1.1417329518337997,-0.01807513169847836,-0.015747539625655005,1.5879920348512797,1.306005390682274,1.4009085186410546,1.2883998357421953,0.7696047008547009,1.0626408527714122
-0*0*4-0/4-2/4,1.3197770455655062,1.3511352482678982,0.9686634764399786,1.3370261262618104,-0.011554845945841054,-0.013549602069726673,1.4375,1.009708737864078,-0.01819716784852594,-0.009056561998006052,1.6508811118473026,1.3511352482678982,-0.01819716784852594,-0.009056561998006052,1.4484771018415932,1.3370261262618104,0.5823204045512733,0.8404440441452612,0.23057278889437102,0.8378969252670054,-0.016053273766903277,-0.01218823059005701,1.6508811118473026,1.4134460011113308,1.4484771018415932,1.3821432221644179,0.7696047008547009,1.06,-0.016920639263405535,-0.012995773569495566,1.631018572289041,1.2542949469536617,1.415282724507881,1.2453620681446689,0.1017094017094017,1.06,-0.01819716784852594,-0.016989988489182966,1.5810962901792538,1.2746759767960083,1.395499334477121,1.2447723804195803,0.7696047008547009,1.1417329518337997,-0.01819716784852594,-0.015755886036441645,1.5810962901792538,1.306005390682274,1.395499334477121,1.2883998357421953,0.7696047008547009,1.0626408527714122
-0*0*4-0/5-2/4,1.2938375074554642,0.9908191490934399,0.9495546750849945,0.9051978210175743,-0.013877847899756244,-0.01426794743419129,0.1017094017094017,1.009708737864078,-0.020435058708004248,-0.011701371729579009,1.6508811118473026,1.2021277275146958,-0.020435058708004248,-0.011701371729579009,1.4484771018415932,1.1840964595501,0.5686238603639372,0.2683887403561385,0.22887680324266232,0.07508260373695382,-0.01957882126938623,-0.010529879648835151,1.6508811118473026,1.2021277275146958,1.4484771018415932,1.1840964595501,0.15085470085470085,1.06,-0.016770652705322672,-0.018209046658616123,1.620476871009831,1.2542949469536617,1.3978843034450317,1.2453620681446689,0.1017094017094017,1.115572967678746,-0.01957882126938623,-0.011701371729579009,1.6508811118473026,1.1847308428123777,1.4484771018415932,1.170736060264031,0.15085470085470085,1.06,-0.01957882126938623,-0.011701371729579009,1.6508811118473026,1.1847308428123777,1.4484771018415932,1.170736060264031,0.15085470085470085,1.06
-0*6*6-0/4-2/4,1.2586871821144925,1.200890577331118,0.8827450735556336,1.1931353815394128,-0.011565726478771092,-0.015120425537127537,1.4375,1.115572967678746,-0.018134697970986713,-0.011960683830795273,1.6508811118473026,1.200890577331118,-0.018134697970986713,-0.011960683830795273,1.4484771018415932,1.1931353815394128,0.5359946605224053,0.7124846555035129,0.2213058748694605,0.7001173033320771,-0.01601370748171416,-0.015496899195757967,1.6508811118473026,1.276081746567915,1.4484771018415932,1.259214002220332,0.7696047008547009,1.115572967678746,-0.017481022783793577,-0.012966564595174535,1.631018572289041,1.2542949469536617,1.415282724507881,1.2453620681446689,0.1017094017094017,1.06,-0.018134697970986713,-0.015496899195757967,1.5749715800889197,1.276081746567915,1.3902246380662635,1.259214002220332,0.7696047008547009,1.115572967678746,-0.018134697970986713,-0.015496899195757967,1.5749715800889197,1.276081746567915,1.3902246380662635,1.259214002220332,0.7696047008547009,1.115572967678746
-0*6*6-0/5-2/4,1.2339483338076633,0.7792064112347197,0.8668479419554496,0.7505243803511318,-0.013877723633223774,-0.015148564306783218,0.1017094017094017,1.115572967678746,-0.02037258883046502,-0.0014571218209069978,1.6508811118473026,1.06,-0.02037258883046502,-0.0014571218209069978,1.4484771018415932,1.06,0.5233877271320523,0.10708391015213814,0.21974301384049919,0.052234407593196246,-0.018180777501954702,-0.016328569532953238,1.6508811118473026,1.063296844010254,1.4484771018415932,1.0558049835150896,0.1017094017094017,1.115572967678746,-0.016742182601042422,-0.01819898278250419,1.620476871009831,1.097740398037279,1.3978843034450317,1.0976386311368593,0.1017094017094017,1.115572967678746,-0.02037258883046502,-0.0014571218209069978,1.5440156747048053,1.06,1.3838182105962094,1.06,0.7696047008547009,1.06,-0.02037258883046502,-0.0014571218209069978,1.5440156747048053,1.06,1.3838182105962094,1.06,0.7696047008547009,1.06
-0*2/1-0/5-2/4,1.2832210404304885,0.7792064112347197,0.9597621992439509,0.7505243803511318,-0.013877472928981543,-0.015411857855123733,0.1017094017094017,1.115572967678746,-0.029941313791659787,-0.0012700209089204215,1.6349415170354538,1.06,-0.029941313791659787,-0.0012700209089204215,1.4372792349083654,1.06,0.6316048500800353,0.10708391015213814,0.536997280724012,0.052234407593196246,-0.01964363402462581,-0.0012700209089204215,1.6430659155935716,1.06,1.443100771620837,1.06,0.15085470085470085,1.06,-0.016837803549895454,-0.0018654508491830692,1.6118492560186477,1.06,1.392252862773275,1.06,0.1017094017094017,1.06,-0.01964363402462581,-0.0012700209089204215,1.6430659155935716,1.06,1.443100771620837,1.06,0.15085470085470085,1.06,-0.01964363402462581,-0.0012700209089204215,1.6430659155935716,1.06,1.443100771620837,1.06,0.15085470085470085,1.06
-0*2/3-0/5-2/4,1.2220343102486675,0.7792064112347197,0.8628249594933288,0.7505243803511318,-0.013877472928981543,-0.01043742895877328,0.1017094017094017,1.009708737864078,-0.02836514685194891,-0.0011582811412366592,1.6349415170354538,1.06,-0.02836514685194891,-0.0011582811412366592,1.4372792349083654,1.06,0.518975710581985,0.10708391015213814,0.219268455819293,0.052234407593196246,-0.019579319525071075,-0.01762105487501183,1.6430659155935716,1.063296844010254,1.443100771620837,1.0558049835150896,0.15085470085470085,1.0626408527714122,-0.016835228826585866,-0.01842050116337579,1.6118492560186477,1.097740398037279,1.392252862773275,1.0976386311368593,0.1017094017094017,1.115572967678746,-0.019579319525071075,-0.0011582811412366592,1.6430659155935716,1.06,1.443100771620837,1.06,0.15085470085470085,1.06,-0.019579319525071075,-0.0011582811412366592,1.6430659155935716,1.06,1.443100771620837,1.06,0.15085470085470085,1.06
-0*2/1-0/4-2/4,1.3089477339990778,1.1878824690678025,0.9792882644626978,1.1789880037860307,-0.01157475408609562,-0.015383719085468052,1.4375,1.115572967678746,-0.025929850590266992,-0.01444165584611489,1.6349415170354538,1.1878824690678025,-0.025929850590266992,-0.01444165584611489,1.4372792349083654,1.1789880037860307,0.6468184285825628,0.6768695575593965,0.5464273936185635,0.6543244934582633,-0.0160805813390003,-0.015963110132959177,1.6430659155935716,1.263897400275704,1.443100771620837,1.2373911253725813,0.7696047008547009,1.115572967678746,-0.016957084096888557,-0.017200195972132418,1.631018572289041,1.0860746473124598,1.415282724507881,1.0857540404580972,0.1017094017094017,1.115572967678746,-0.019526978686813194,-0.017200195972132418,1.533126179989299,1.2594899192099545,1.3772470412567268,1.2210212729101415,0.6196183013475959,1.115572967678746,-0.019526978686813194,-0.015963110132959177,1.533126179989299,1.263897400275704,1.3772470412567268,1.2373911253725813,0.6196183013475959,1.115572967678746
+5/0-2/0-3/6-4,1.2887766450743943,1.124546509933848,0.9358525183439937,1.1144796982550753,3730.739265961183,6556.890457417779,0.7897435897435898,1.247224278312361,269.56627884934875,5211.880504751724,1.6781712360650451,1.1528428263326238,269.56627884934875,5211.880504751724,1.4540851988899752,1.14498319731157,0.5434509814198862,0.5884498731842154,0.39205600356428816,0.5524905084551401,669.0860740326524,5211.880504751724,1.6405463612621276,1.1528428263326238,1.430973528381386,1.14498319731157,0.7897435897435898,1.247224278312361,669.8451088094912,1014.6788482884414,1.3584133273802563,1.073462576049722,1.2068741443772293,1.0733770918417327,1.06,1.1327030482470897,669.0860740326524,1704.6894767558779,1.6405463612621276,1.0809925726790792,1.430973528381386,1.0796225113712243,0.7897435897435898,1.247224278312361,1529.03387592863,2004.3780976391893,1.06,1.0839423021298948,1.06,1.0801561618179496,0.7897435897435898,1.247224278312361
+5/0+1-2/0-3/6,1.2887766450743943,1.124546509933848,0.9358525183439937,1.1144796982550753,3737.5116751290097,6575.0557017506935,0.7897435897435898,1.247224278312361,276.30873889915995,5229.267916401637,1.6781712360650451,1.1528428263326238,276.30873889915995,5229.267916401637,1.4540851988899752,1.14498319731157,0.5434509814198862,0.5884498731842154,0.39205600356428816,0.5524905084551401,671.9697623850896,5229.267916401637,1.6405463612621276,1.1528428263326238,1.430973528381386,1.14498319731157,0.7897435897435898,1.247224278312361,676.8997282179068,1015.4128640421947,1.3584133273802563,1.073462576049722,1.2068741443772293,1.0733770918417327,1.06,1.1327030482470897,671.9697623850896,1705.1690536081924,1.6405463612621276,1.0809925726790792,1.430973528381386,1.0796225113712243,0.7897435897435898,1.247224278312361,1530.9421294838553,2006.9468706428643,1.06,1.0839423021298948,1.06,1.0801561618179496,0.7897435897435898,1.247224278312361
