id,CT,GeoNgn
2252154,+3*6-2*5-0/3,1.5410117548445026
24156050,+3*6-2*4-6*6-0,1.540992759822215
25863772,+3+6-2*3*4/0-5,1.5287464571675147
27649654,+4-0*0*1*6-3-5,1.509070235427089
6496816,+0*0*6*6+4-3-5,1.499993211970094
12507173,+3*5*6+5-5*5-2,1.4956344373697201
13520542,+4*4+1/0-1*5/6,1.495253408686961
13520537,+4*4+1/0-1*4/6,1.495253408686961
13539064,+5*5+1/0-1*5/6,1.4880104426157705
28395254,+6-6*6/4-0*5-2,1.4819659374194
28745373,+6-6*6/5-0-2-2,1.4800273556620005
11602777,+3*3*6/4-1*2-2,1.476770567527616
16799528,+3*3*6-4*5*5-2,1.4747541776708915
3138117,-2*5/4/4-0/4,1.4689759429273654
28299920,+3-0*3/4-3*5-2,1.4664568185688867
2685179,+0+4-0/5-3-5,1.4662603089989223
22562496,+2*3-1*2*2-1*3,1.4656103323637162
6581047,+6*6*6/4+4-3-5,1.465516689138857
28745317,+6-6*6/4-0-2-2,1.4631186258491498
17180743,+0*1*6-2*2-0/5,1.4630849332264344
28976942,+3-1*2-3/2-5/4,1.4609766981429393
21534645,+3+6+6-1*2/0-5,1.457596247609098
22040729,+3*6-4*4*6*6-2,1.4521517076940436
27239663,+2-1*2*2/3-0*1,1.4507227691123867
27762718,+4-1*4/5/5-3-5,1.4506820144486336
28021208,+3-0*3*3-3*5-2,1.4501298210531655
27759498,+4-0*1/2/2-1-5,1.4500923995588915
15660754,+1*6+3+6-3*5-2,1.4482056098071057
2115581,+0*0*1/3/5+5*6+6,1.4479792900838475
2586094,+1+4-1*3/0-5,1.447041179329993
29053352,+6-1*3-1/3-3/1,1.4469169791164604
24744553,+1/0-3*3-3/6-6,1.445143752404476
24742009,+1/0-1*3-4/6-3,1.445143752404476
24744549,+1/0-3*3-3/6-2,1.445143752404476
24744591,+1/0-3*3-4/6-2,1.445143752404476
30544064,-0*1/5/5-2/3-2,1.4446241736186356
31395691,-0*1/4-0/4-2/4,1.443711162040202
31096315,-0*3*3-0/4-2/4,1.443711162040202
31088188,-0*1*3-0/4-2/4,1.443711162040202
29345208,+4-6*6-0/2-1-5,1.4423959883340483
5817716,+3*3*4*6/1-5/6,1.4391976303235987
18001285,+0*2/4-0/4-2-2,1.4368297591688406
2196690,+1*1*6/3/4+3*6+6,1.434623153859005
29015201,+4-4*5-0/3-2/1,1.4331166099579358
22562498,+2*3-1*2*2-1*5,1.4323151923386226
27477575,+5-2*5/3/4-5*5,1.4314612683355599
856725,+0*0*1/5-0-2,1.4296991958930905
21767662,+1+4+6-1*3-2-5,1.4293501098945276
29345334,+4-6*6-1/2-1-5,1.4284970114407936
27927002,+2-1*2/5-2*5/4,1.4281599910573883
5891776,+3*3*6/0/5-5/6,1.4269035574790572
23430489,+1/0-1*2/6-4/6,1.4269035574790572
209097,+0*0*4*6*6/3+3*6,1.4246885552060748
28834044,+3-1*2-6*6-3/2,1.4244392267448174
22775686,+3*6-0*1/4-2*5,1.4215683093821319
19362564,+5/4+4-3*5/4-5,1.4192392814339712
1648885,+3*6+0-0*3*6,1.4181515782568954
29050789,+6-0*6-2/0-6/3,1.4153950878915178
18773980,+1*6+5-5*5*5-2,1.4149514034971211
13376993,+5*6+0/4-0*5*6,1.4136100539885985
22969766,+5*6-6*6/1-6/5,1.4116618440463196
27276031,+5-2*5*5/3-5*5,1.4072648977890694
18980868,+4*6+5-6*6/1-4,1.406880285090772
26526080,+1+4-0*1-1*1-5,1.4067842301608577
18412579,+5*6+6-6*6/1/3,1.4064055497992327
18322522,+5*6+6-5*6*6/3,1.4064055497992327
18823354,+5*6+5-4*5*5-2,1.404942905751628
13266901,+1*6+4*6-6*6/1,1.401811569224495
22562497,+2*3-1*2*2-1*4,1.4009754921850945
18364801,+1*6+1-2*4/6/6,1.3997458316402722
22046677,+5*6-0*0*0*0-0,1.3989084096887112
26564730,+0+0-0*1-0/1-2,1.396940675034542
25968280,+1+3-3*3*3-1*1,1.3962491417161302
18232278,+2*6+0-0*0*0*6,1.396029779368956
28873264,+5-2*5-5*5-2/0,1.3922259062473261
17228919,+2*2*6-1*6-1/0,1.385605253438899
27276003,+5-2*5*5/1-5*5,1.3852490691786037
21573256,+4+4+4-5*5-6*6,1.3837949063363137
6005625,+2*6*6*6+4-4*4,1.3798951952288565
894237,+3*4*6+4-4*4,1.3783091115684751
25840887,+1+4-1*1*4/5-5,1.3778742956879277
13127295,+3*3*6+6-3-3-3,1.3774461902735198
13224293,+4*5+5*5-5*5*5,1.375344390454004
21846575,+4*6-0*0*0*0*0,1.3748557323393298
9173396,+1*6+2*6+6-6*6,1.3745390608063663
46541,+2*2*6/5+5*6,1.3741011786425532
177583,+3*6-2*6*6,1.3680714430021552
2782755,+0-0*0*5-0/4,1.3672112012095343
22969934,+5*6-6*6/5-6/5,1.3647603755258524
27278651,+5-5*5*5/4-2*2,1.3628615806314137
28167907,+4-1*2*2-4/2-1,1.3623582001570094
26985067,+5-1*1*5*5/3/3,1.362125195028495
15182473,+1*4+3+4-1*1*4,1.3609289289112658
21888595,+2*2-3*3*3/0/2,1.359387323865274
15199641,+2*6+6+6-2*6*6,1.3558839495405115
17270283,+0*0*6-0/1-0/1,1.3532834747790359
26461019,+1+4-0*4/1-3-3,1.3413941649384955
28564016,+4-2*4/3-3/2-2,1.3407503613665726
27876560,+5-0*1*5-1*5/3,1.3356248000518196
16752390,+5*5/0-1*5/0/0,1.3344133524545505
