id,CT,GeoPro
6525040,+0*0*1/5+4-3-5,1.5308216353076598
26495424,+4+6-2*4/3-3-5,1.5055871461537804
20599022,+0*1+6-5*5-3-3,1.5046142448745465
27762564,+4-1*4/2/2-1-5,1.482466808613368
9059311,+0*1/4+6+6-2-5,1.4824005891637464
27476063,+5-2*2/1/3-5*5,1.4718218444949522
21831674,+0+4+4-3-3-5-5,1.465113791912537
29004461,+4-1*5-0/5-5/2,1.4601460946263822
27763789,+4-2*2/5/5-3-5,1.4519962489270617
26448599,+0+4-5*5/4-2-3,1.4477473717591165
27476175,+5-2*2/3/3-5*5,1.4466443338912023
2906941,+4-6*6/0-3-5,1.4412394674054267
2904883,+4-1*2/3-3-5,1.4387454508051243
26496384,+4+6-6*6/3-3-5,1.4371072592019447
27239689,+2-1*2*2/3-6*6,1.4348616928133993
26715321,+4+6-3*3-2/0-5,1.4346136670234861
27649654,+4-0*0*1*6-3-5,1.432495058733838
11621332,+0*0*1/5-2/1-0,1.4324857301124108
28386524,+6-3*3/0-0*6-2,1.429406644905883
2834543,+6-3*3/0-0*5,1.4292219986064425
27329684,+2-1*2*2/3-0/3,1.4291147583753128
27761668,+4-1*1/3/5-3-5,1.427700484964068
16728651,+2*4/1-0*0/1/1,1.4274635923940429
1148021,+2*2*2*6/1+2*5/1,1.4263070361642207
27768535,+4-6*6/1/5-3-5,1.425655563978521
26491079,+4+4-3*4/5-5-5,1.4201016098356465
6090132,+0*2*6/4+5-5*5,1.41486269842188
26494854,+4+6-1*2/0-3-5,1.4136993850070783
13577052,+1/0+1/6-5*5*6,1.4122760411938464
13577049,+1/0+1/6-4*5*6,1.4122760411938464
11621339,+0*0*1/5-2/3-0,1.4122405369159263
11322679,+3*5*5/1-3*3/0,1.4099455630893356
11263988,+2*4*4/1-2*3*4,1.4087105570142915
11263984,+2*4*4/1-2*2*4,1.4087105570142915
28355141,+5-1*4/2-1*5-6,1.4062017304674703
28330439,+4-1*4/2-1*4-6,1.4062017304674703
28386644,+6-3*3/0-5*6-2,1.405275797047684
20601704,+0*2+4-3*3-1-5,1.4041441990857724
11302930,+1*3*6/4-1*2/0,1.403474186922077
3569723,+0*0*1*3+3*4/1+3,1.4009251322609777
3959173,+0*1*3+3*4/1-6,1.4009251322609777
17687500,+4*6/1-2/0-4/1,1.4004776030173804
16765093,+0*1*2-2*3*4-0,1.4002469963315645
23651791,+0*2-2*3*4-0-0,1.4002469963315645
26210257,+4+6-1*4/3-1*2,1.3996723231073687
26210397,+4+6-1*5/3-1*2,1.3996723231073687
27460788,+4-1*1/6/6-1*4,1.3985517054614776
27460789,+4-1*1/6/6-1*5,1.3985517054614776
1751827,+0*1+6-0*3-3,1.3981476663111068
28615927,+5-5*6/3-3/2-1,1.391752148134017
22581883,+4*4-5*5*5-1*4,1.3874070500201754
23684228,+2*5-1*2*5-2-2,1.3866917587910932
27018494,+4-0*1*4*5*5-5,1.38490581454079
27973719,+6-2*5/1-3*3/0,1.3847097678878035
2746551,+6-5*5*5/1-3,1.3817732408973429
26109122,+6+6-3*3*3-1/4,1.3790474466022127
30840036,-2*3*3-0*0/3-0,1.3785530323346884
26212791,+4+6-6*6/3-4*4,1.3771895266426546
28330350,+4-1*4/0-4*6-0,1.375882045533882
28355900,+5-1*5/0-5*6-2,1.37577046517796
26193934,+3+5-1*5/3-1*3,1.3751374064207642
26189678,+3+4-1*4/3-1*3,1.3751374064207642
883880,+0*2*6+5-5*5,1.3739918936385969
27890559,+6-0*4*4-3*3/0,1.3736572226782542
25870647,+4+6-5*5*5/4-2,1.372341588375061
18230522,+2*4+5-2*2*2*2,1.3706853410239082
18839110,+0*1+6-1*1/0-2,1.3693165723252232
20654458,+2*4+6-3*4-2-2,1.3657743665828341
2256720,+5*5-2*5-5/2,1.3641812586762418
24375437,+5*5-2*4-4/2-0,1.3641812586762418
19687828,+5*5+6-2*5-5/2,1.3641812586762418
19681024,+5*5+0-2*5-5/2,1.3641812586762418
27966492,+6-0*2/1-3*3/0,1.3617486682964015
2704080,+6+6-3-3-3-5,1.361689605005871
21288070,+6/3+5-5/3-2-2,1.3608817815366494
16774389,+0*4*6-2*3*4-0,1.3589208259539447
27473725,+5-1*1/6/6-1*5,1.3577070930285295
31565061,-2*3*5-0*3-0-0,1.3492569128900176
15211418,+4*4+6+6-5*5*5,1.33914276374068
25999152,+4+4-4*4*4-4*5,1.3371175625087786
22407052,+0/5-0*0/5/5-1,1.336324613732873
21860322,+2*2-1*2*2*2/3,1.3327781936999175
6652850,+0*0*4+4*6-4*5,1.3263021751098818
28222693,+0-0*0/1-0*1-2,1.325932042715492
27719072,+6-3*6*6/1-1-3,1.3219775996891858
15633153,+0*5+4+4-5*5-0,1.3208653823568373
6653662,+0*0*5+5*6-5*5,1.3175408250474938
28549063,+4-0*4/1-1/0-1,1.3174976225921833
18711329,+6/0+4-2*4/0/0,1.3173149325292635
21543223,+0+0+1-0*0-1*1,1.3170184232547795
1470109,+6*6*6-6*6/3,1.3133707714470142
2219353,+0*6-0*0-0*3,1.3071216723070136
29942492,-2*2*4*4-0*0/4,1.3059915114850846
16746063,+4*4/2-3*4/2/2,1.3039270603383593
30149997,-0*0*0*6-2*2-0,1.3015698448709032
20662295,+2*6+6-2*2-3-3,1.2981422723360185
322416,+5*5*5*5*5/1+1/5,1.2945912092932985
12098228,+6*6*6+4-4*4*4,1.2921974632206463
13267236,+1*6+6*6-1*1/0,1.2854149123548513
25740938,+1+3-1*1*1*3/0,1.2817359054905415
