CT,GeoPro,GeoPro_JP,HarPro,HarPro_JP,Value,Value_JP,Profit,Profit_JP,ValGLim,ValGLim_JP,GeoLim,GeoLim_JP,ValHLim,ValHLim_JP,HarLim,HarLim_JP,GeoRank,GeoRank_JP,HarRank,HarRank_JP,Nguong,Nguong_JP,GeoNgn,GeoNgn_JP,HarNgn,HarNgn_JP,ProNgn,ProNgn_JP,Nguong2,Nguong2_JP,GeoNgn2,GeoNgn2_JP,HarNgn2,HarNgn2_JP,ProNgn2,ProNgn2_JP,Nguong_20,Nguong_20_JP,GeoNgn_20,GeoNgn_20_JP,HarNgn_20,HarNgn_20_JP,ProNgn_20,ProNgn_20_JP,Nguong_snp,Nguong_snp_JP,GeoNgn_snp,GeoNgn_snp_JP,HarNgn_snp,HarNgn_snp_JP,ProNgn_snp,ProNgn_snp_JP
+0*0*1/5+4-3-5,1.5308216353076598,0.7968140215140231,1.363297517531169,0.7663439680031362,0.7137514496901795,67.69511950651328,0.8216216216216216,0.9152542372881356,0.33386604462848024,8155.392301638692,1.5753797758919543,1.06,0.33386604462848024,8155.392301638692,1.426118491760413,1.06,0.8348262340958396,0.16640011871737756,0.811411531174621,0.060371661076795875,0.49208339898594566,4.539500921576104,1.3994270984837003,1.3952361912725393,1.3335097804235978,1.1895675782588566,1.1092353271524604,0.9983211046337456,0.3753668368552452,4.539500921576104,1.4012695408675053,1.1343934976085819,1.3432701873686113,1.0323496999583694,0.8006545608108108,0.9152542372881356,0.3357526752933469,8155.392301638692,1.3101669609038327,1.06,1.2461528360194498,1.06,1.0268483703643454,1.06,0.629954421395297,8155.392301638692,1.161523296014609,1.06,1.146303272236151,1.06,1.0915125651967759,1.06
+4+6-2*4/3-3-5,1.5055871461537804,1.3841025604685187,1.366215208375534,1.226964497221521,0.7286308994421946,3.050138156223642,1.14468085106383,0.6327769347496206,0.2384285580971459,3.3601495677020137,1.508147656877513,1.4527932020953531,0.2384285580971459,3.3601495677020137,1.4310174402092135,1.3059286425155683,0.8015133261170625,0.589406844121654,0.7687784635357893,0.5228810379466211,0.27346425533147256,1.8416637601009769,1.4108039914692445,1.43915395868785,1.335383158215138,1.4182483760087736,0.9393066441054307,0.7645106012895172,0.2251807535421481,3.8816905570081546,1.3303295205207457,1.4238892158800482,1.2413643686691502,1.338949906362174,0.9475804452219851,1.06,0.27346425533147256,5.150912146757135,1.4108039914692445,1.298626827168892,1.335383158215138,1.18657499442825,0.9393066441054307,1.06,0.37478115323195954,7.505630624640274,1.2811691520355106,1.06,1.2528135007744312,1.06,0.8691631680068315,1.06
+0*1+6-5*5-3-3,1.5046142448745465,0.927208587063714,1.3435762567142797,0.8731322849008439,0.0753532895608496,15.931683455085002,0.930390492359932,0.9152542372881356,0.018830275010134883,6.586653133484092,1.5046142448745465,1.06,0.07400224946336195,6.586653133484092,1.4049286800508278,1.06,0.7844210725747895,0.24648953449447084,0.7405630491780434,0.08754106461968962,0.0777801948586393,0.021613497823180085,1.438546092697271,1.0855203805367004,1.3390643487680778,1.0698039962370698,1.06,0.7855571060739596,0.08129849938614866,-0.002830360922638152,1.2932575228401664,1.1528742823759233,1.2293177999132776,1.137554959936164,1.06,0.9515535148759381,0.17544751804780112,3.126117110455205,1.1024421158635447,0.9978116229714143,1.0942584247860114,0.9879936808846762,1.06,0.9152542372881356,0.17544751804780112,6.586653133484092,1.1024421158635447,1.06,1.0942584247860114,1.06,1.06,0.9152542372881356
+4-1*4/2/2-1-5,1.482466808613368,1.3655481482764866,1.141678452049172,1.213527289847294,0.6933941433834963,3.893630486319057,0.8037974683544303,1.283149171270718,-0.07990078777683296,2.4424647570655544,1.7210228056258288,1.4023799668498587,-0.07990078777683296,5.254028161616745,1.594781135055446,1.2752236236501733,0.7132254012186379,0.6350434224315532,0.5795607817998643,0.5761543532358684,0.36556577799616474,9.41081457616474,1.3685918613798176,1.9198260022800684,1.303944974905541,1.4533729608902852,0.8037974683544303,1.06,0.28846127964220347,3.623437803313358,1.4005872612765928,1.1536544895149845,1.3244740606555094,1.1105449198561652,1.06,1.283149171270718,0.36556577799616474,6.948600137687517,1.3685918613798176,1.785470532524087,1.303944974905541,1.434731473928885,0.8037974683544303,1.06,0.36556577799616474,6.948600137687517,1.3685918613798176,1.785470532524087,1.303944974905541,1.434731473928885,0.8037974683544303,1.06
+0*1/4+6+6-2-5,1.4824005891637464,0.9189611797918236,1.3438905806544017,0.8691380591773833,3.006060436882809,6.3311081046404345,1.36140350877193,0.9152542372881356,0.07727511149889207,9.101597953928772,1.4824005891637464,1.0752673939562862,0.30810082659568916,9.101597953928772,1.358530840903907,1.0747282134759608,0.8065552204345875,0.19213177317795105,0.7861361204281315,0.07652968411598529,0.6321053561181447,0.9494750695303188,1.2749118398445756,1.2472015564875365,1.2053451958348171,1.2266972579479845,1.36140350877193,0.7864759718202379,0.28802579431425973,0.6687410531400976,1.2957166692152455,1.1734538864175468,1.2401805951453753,1.141989289884007,1.06,0.7940941739824421,1.3602675427270863,9.101597953928772,1.1845744161240803,1.0752673939562862,1.1623738454229806,1.0747282134759608,1.36140350877193,1.06,1.3602675427270863,9.101597953928772,1.1845744161240803,1.0752673939562862,1.1623738454229806,1.0747282134759608,1.36140350877193,1.06
+5-2*2/1/3-5*5,1.4718218444949522,0.8032446765031531,1.266085506501498,0.7851196945308995,0.245748055722351,0.24999668542218847,1.05632183908046,0.6200514138817481,0.24389573609927406,0.24999760064472112,1.4847783885433288,1.06,0.24389573609927406,0.24999760064472112,1.3017020446528238,1.06,0.7913022869379306,0.1209035739001512,0.7749809879951052,0.09639543992405222,0.24541835105913287,0.24876447373564303,1.366038213078625,1.1211511489668244,1.223988081192817,1.1088677547490182,1.05632183908046,1.0974964204972875,0.24505414946977233,0.24876447373564303,1.462245735277378,1.0691463984550025,1.3314809156599976,1.057164453951582,1.05632183908046,1.0643388220273748,0.249023294590899,0.24999760064472112,1.1829587076418224,1.06,1.136733047809335,1.06,1.06,1.06,0.2490293689937208,0.24999760064472112,1.2065987826076077,1.06,1.1646259775669503,1.06,1.06,1.06
+0+4+4-3-3-5-5,1.465113791912537,0.9701439303176509,1.3522033563388054,0.8871180437772299,1.5114336609336614,7.670888921686689,0.8216216216216216,0.6327769347496206,0.9077890238120268,24.048381230149495,1.4952810967312997,1.0750934242079224,0.9077890238120268,24.048381230149495,1.4008051194283238,1.0745663437711197,0.8290106028220543,0.3024411751515598,0.8004210085856204,0.069381892430374,1.2471505121404005,24.048381230149495,1.4245956315040558,1.6404892678797736,1.3468383178909609,1.253751122300097,0.8216216216216216,1.06,0.9181714344444467,9.538904448604928,1.4025732810122922,1.2604506408021001,1.3514798216871837,1.192999941596382,0.8006545608108108,1.06,1.2168816066002837,24.048381230149495,1.3785349374859213,1.6404892678797736,1.320342151409363,1.253751122300097,0.8216216216216216,1.06,1.3823770491803278,24.048381230149495,1.1580147323695509,1.6404892678797736,1.1441111623086266,1.253751122300097,0.8216216216216216,1.06
+4-1*5-0/5-5/2,1.4601460946263822,1.3329459991006465,1.3913290669504825,1.3065458285124998,1.3827914918638675,9.52945754497952,0.8037974683544303,0.9403973509933775,0.0249578384233613,7.357326728164345,1.4612999128448,1.3329459991006465,0.0249578384233613,7.357326728164345,1.3927799618627361,1.3065458285124998,0.7780649494304562,0.7773917547444112,0.7209945997221658,0.7543048951720506,1.084914671562843,7.276570385345609,1.2475034695994087,1.31030083563769,1.213520369835685,1.2850075934417025,0.8037974683544303,0.9741512446666492,0.7131261281147463,6.054284192231069,1.3342977036002381,1.262024421268813,1.2318005131737602,1.2448490201662026,0.8970910418695228,0.9403973509933775,2.374937166518648,7.276570385345609,1.1350614109311377,1.31030083563769,1.115225923414959,1.2850075934417025,1.06,0.9741512446666492,2.3977555884321076,9.804877785224223,1.1517167435622453,1.274016155329457,1.1342206127600292,1.2559240792852882,1.06,1.06
+4-2*2/5/5-3-5,1.4519962489270617,1.5026332005224527,1.3266428572139095,1.3617844750539394,0.5166747222923653,3.4455548769847595,1.14468085106383,0.6327769347496206,0.35889884256659355,3.930485743834559,1.458983227146222,1.52743582754401,0.35889884256659355,3.930485743834559,1.3882127903851396,1.3919720326422087,0.7814633256045234,0.6822621670910072,0.744758166403947,0.6424025683414601,0.4681718625160425,6.409696220824461,1.4282859078845356,1.91558237404282,1.3644459750614808,1.4529103808778379,1.14468085106383,1.06,0.34762153061276707,5.003277803416365,1.4296873286143292,1.56607714823061,1.3803591037328207,1.3967711966739869,0.7796875,1.06,0.2348958960704337,5.847645672551393,1.244468705388935,1.836802513328502,1.1964381900232348,1.4429323505196348,0.8692759375501498,1.06,0.4681718625160425,7.500788416635979,1.4282859078845356,1.6404892678797736,1.3644459750614808,1.253751122300097,1.14468085106383,1.06
+0+4-5*5/4-2-3,1.4477473717591165,0.8449837703822716,1.3350794295993131,0.8079740423961574,1.1413377911548448,5.746262828339083,0.7796875,0.6327769347496206,0.9199338544880749,145.02852169939226,1.5038507924046947,1.0750934242079224,0.9199338544880749,145.02852169939226,1.426284173132402,1.0745663437711197,0.838477729371178,0.20405045816970147,0.8055221649679928,0.06210686110143348,1.1590848679766332,7.43130409975498,1.3866409808638602,1.6301262181592038,1.324683965869293,1.4193365036167738,1.06,1.06,0.8411591644814849,8.143908122829906,1.4134765696412488,1.239978091143153,1.3457488070101766,1.0113661416622415,0.7796875,1.06,1.794705439092833,145.02852169939226,1.1739868519632735,1.0750934242079224,1.155152153741239,1.0745663437711197,1.06,1.06,1.794705439092833,145.02852169939226,1.1739868519632735,1.0750934242079224,1.155152153741239,1.0745663437711197,1.06,1.06
+5-2*2/3/3-5*5,1.4466443338912023,0.8629561451267364,1.24935156284491,0.8337924890650596,0.24575262653143623,0.24999668542218847,1.05632183908046,0.6200514138817481,0.24389158922671073,0.24999786219639722,1.488762065271803,1.06,0.24389158922671073,0.24999786219639722,1.3086962949156506,1.06,0.7817151676318218,0.17680830585907079,0.7695549072233695,0.12032954917696467,0.24633513150702424,0.24977636287301141,1.3697639570283304,1.207686432372422,1.2279724508585605,1.0683517338377464,1.06,1.2079581035776852,0.24633513150702424,0.24970458118321498,1.462245735277378,1.06,1.3314809156599976,1.06,1.06,1.06,0.249023294590899,0.24999786219639722,1.1829587076418224,1.06,1.136733047809335,1.06,1.06,1.06,0.2490293689937208,0.24999786219639722,1.2065987826076077,1.06,1.1646259775669503,1.06,1.06,1.06
+4-6*6/0-3-5,1.4412394674054267,1.5026332005224527,1.3268016628506445,1.3617844750539394,0.4305497872358618,3.445654249763473,0.8216216216216216,0.6327769347496206,0.24601807366597328,3.932215780288629,1.4991866811661632,1.52743582754401,0.24601807366597328,3.932215780288629,1.4110975707972944,1.3919720326422087,0.834765609243145,0.6822621670910072,0.801055145433544,0.6424025683414601,0.27981299411415006,5.1158160233369605,1.4102941379430998,1.356164712797882,1.333245433602337,1.2844385925289443,0.8006545608108108,1.06,0.27981299411415006,4.999505046322483,1.4115476076770306,1.56607714823061,1.3331594936212716,1.3967711966739869,0.8006545608108108,1.06,0.17671366704533353,5.583448930978908,1.2509830503263826,1.3199558666333773,1.1981804239678457,1.2094396957083426,0.8307737366175775,1.06,0.4566206606955781,7.500743772363778,1.1514045014756014,1.0750934242079224,1.1384207388604182,1.0745663437711197,1.06,1.06
+4-1*2/3-3-5,1.4387454508051243,1.5026332005224527,1.3294501592047048,1.3617844750539394,0.5156669219693277,3.432295556085722,1.14468085106383,0.6327769347496206,0.11307110116853852,3.910081681608918,1.4387454508051243,1.52743582754401,0.11307110116853852,3.910081681608918,1.3294501592047048,1.3919720326422087,0.7695259511155766,0.6822621670910072,0.7109662093077505,0.6424025683414601,0.10319856621806066,5.117911682869029,1.3155251887209556,1.9681303639040737,1.2568483675059143,1.5625126863193035,0.943839115851383,1.06,0.21418629171393722,5.003277954040213,1.2773671419559038,1.56607714823061,1.2390181983917234,1.3967711966739869,0.8500207411504423,1.06,0.13986523838879228,5.695552274101378,1.2129681097585694,1.91558237404282,1.1736839976849651,1.4529103808778379,0.8952796210751846,1.06,0.38152572948519126,7.500788416635979,1.247367273706389,1.6404892678797736,1.217617609228695,1.253751122300097,0.9621841755319149,1.06
+4+6-6*6/3-3-5,1.4371072592019447,1.5026332005224527,1.3103450949318398,1.3617844750539394,0.7264220405865852,3.479616941509214,0.8216216216216216,0.6327769347496206,0.34485397248633265,3.9572076432295034,1.4925436037825501,1.52743582754401,0.34485397248633265,3.9572076432295034,1.385590124578244,1.3919720326422087,0.813407210639705,0.6822621670910072,0.7750010341987961,0.6424025683414601,0.6298285607337433,3.9828296356571196,1.384179877486364,1.8487519349251216,1.313018394948522,1.624395028757695,0.8216216216216216,1.06,0.3449562944788558,3.9572076432295034,1.389537879957199,1.4617694321691852,1.3490158701129182,1.3849705924727167,0.8006545608108108,1.06,0.4809153699822275,5.151532068720466,1.2938114897723714,1.836802513328502,1.2458172065666806,1.4429323505196348,0.8216216216216216,1.06,0.6021593127488618,7.5056217923945905,1.3501174513189431,1.6404892678797736,1.2955545029653812,1.253751122300097,0.8216216216216216,1.06
+2-1*2*2/3-6*6,1.4348616928133993,0.9646150983476883,1.284239148325102,0.9451431465794056,1.4230125575373616,10.868047386895556,1.272321428571429,0.8868991517436381,0.6395620546438077,9.455375838379098,1.498782786051894,1.06,0.6395620546438077,9.455375838379098,1.3799709293226015,1.06,0.6725485485759699,0.23329989032604836,0.5209413521039664,0.12335593143629303,1.5468462445461566,3.4484024313070814,1.3190299997949102,1.145213306027696,1.2297148087715764,1.1259243206973064,1.06,0.8577169088076971,1.1665995426741291,3.231537419237547,1.2921120034612472,1.2672006657240902,1.261036300445796,1.2452060928647448,1.272321428571429,0.9136808374279001,2.355920911682065,9.455375838379098,1.0848978757544152,1.06,1.0833830167788092,1.06,1.06,0.8868991517436381,2.355920911682065,9.455375838379098,1.0848978757544152,1.06,1.0833830167788092,1.06,1.06,0.8868991517436381
+4+6-3*3-2/0-5,1.4346136670234861,0.9992122050219069,1.2919619270205187,0.9857445583907107,0.8261386910872599,3.1805920272724055,1.14468085106383,0.7953367875647669,0.2595644946607407,3.8849344665319796,1.5277471478360185,1.06,0.2595644946607407,3.8849344665319796,1.4255656601552456,1.06,0.8268146347165093,0.37190541542635186,0.8082220703934372,0.2625149168563465,0.3480395975587492,2.377647608353576,1.383320112288714,1.2512483968999006,1.3057214013141334,1.201825211532305,0.9122748539235997,0.7140568611571938,0.33394278180615133,2.548812928673105,1.3829142321089358,1.2945468068524228,1.2915654108224313,1.2355052956074253,0.6866664924749164,0.7953367875647669,0.3292965792995794,3.630945303371216,1.3283790845376027,1.0475354828266108,1.272292957234399,1.0471633245863914,0.9122748539235997,1.06,0.6200932110570387,3.8849344665319796,1.2553102660215176,1.06,1.2216577567596123,1.06,1.14468085106383,1.06
+4-0*0*1*6-3-5,1.432495058733838,1.3530083300936638e-108,1.3011157684886485,0.0,1.7553761337183538,4.899793737379284,1.74468085106383,1.057575757575758,0.372027538226847,1215544.698408948,1.518492827331389,1.06,0.372027538226847,1215544.698408948,1.4230409123237708,1.06,0.7993879110106026,0.013247264942773741,0.7770426874707527,0.0008720541223591014,0.48705611878198063,1215544.698408948,1.509070235427089,1.06,1.4279675174207138,1.06,1.2369944412497607,1.06,0.37545530569563024,3.834683791866093,1.440021536806558,1.185222048307079,1.372827378573524,1.1512726366554675,0.8006545608108108,1.06,0.2407858688909723,1215544.698408948,1.2493033513848792,1.06,1.201532544824366,1.06,0.9250137092229704,1.06,0.6001570204783284,1215544.698408948,1.2315335465026835,1.06,1.1990372467532353,1.06,1.2831512363427258,1.06
+0*0*1/5-2/1-0,1.4324857301124108,0.8260635613336758,1.1804761186527868,0.8080776288758363,0.9594856699505769,66.4142199472618,1.36140350877193,0.9152542372881356,-0.04413152118598167,8097.379407945566,1.5311180489794107,1.06,-0.0018624121391417798,8097.379407945566,1.364396552644237,1.06,0.7215935948649201,0.17652687590472868,0.6706436589516088,0.07820208565377854,-0.0017255072048305894,0.9996052635726136,1.3551736996793802,1.243490483587625,1.1374272745636085,1.1506717098036348,1.36140350877193,0.8751568777735222,-0.021962525379985914,0.9996052635726136,1.3008755872331739,1.1398307156214598,1.196322916487529,1.0652009618430665,0.7114093959731543,0.9152542372881356,0.15233149002798846,8097.379407945566,1.1681109601592419,1.06,1.1417982544064185,1.06,1.36140350877193,1.06,1.00404127770559,8097.379407945566,1.1350419497330309,1.06,1.1203288901723472,1.06,1.06,1.06
+6-3*3/0-0*6-2,1.429406644905883,1.3344170108014855e-108,1.324326995320745,0.0,0.10751452359337861,0.09519746859478308,0.5936454849498328,0.7212276214833759,0.03657096282536875,235.9151474017903,1.429406644905883,1.06,0.09648766987204971,235.9151474017903,1.3410568565722614,1.06,0.7665615455483551,0.012556055334550738,0.7428675910048738,0.0008719798090060868,0.09671639003871052,0.039866803279116125,1.3403647151438662,1.138536091435209,1.28277122615767,1.1292277966034048,0.7620179886548824,1.0201670883972227,0.09755127375902611,235.9151474017903,1.3394615230998204,1.06,1.2760361233790598,1.06,0.930390492359932,1.06,0.11119094671052634,235.9151474017903,1.2757072732182864,1.06,1.2402110479437332,1.06,1.06,1.06,0.11119094671052634,235.9151474017903,1.2757072732182864,1.06,1.2402110479437332,1.06,1.06,1.06
+6-3*3/0-0*5,1.4292219986064425,0.952145172127905,1.2911509419667548,0.8789295005234714,0.11529101553818157,0.2339775392958365,0.5936454849498328,0.6832072617246596,0.049998518296315735,0.10320603984106415,1.4292219986064425,1.1377698129406346,0.09466915258163339,0.10320603984106415,1.3390775735622542,1.1248880211324221,0.772100562593728,0.27750184989554727,0.7497283878952044,0.09468553854337002,0.0956732687354004,0.10320603984106415,1.294694055806701,1.1377698129406346,1.2284575865257006,1.1248880211324221,0.8989765846535736,0.6832072617246596,0.09568925379336171,0.10320603984106415,1.3131494904028724,1.153995500073351,1.2503892945399486,1.138830752058044,0.9722604932562708,0.6832072617246596,0.11375787759980999,0.09842993910352962,1.242355882829363,1.0888741090199159,1.212185019825862,1.0679303122978212,0.5936454849498328,0.6832072617246596,0.12042475916004326,0.10320603984106415,1.253472971527574,1.1377698129406346,1.2223297203731036,1.1248880211324221,1.06,0.6832072617246596
+2-1*2*2/3-0/3,1.4291147583753128,1.0493600669492946,1.2913867809213835,1.022031799045957,1.408259822889446,10.826592590593494,1.272321428571429,0.8868991517436381,0.4678323894611711,5.030025061595859,1.4800887065794877,1.1515577600011881,0.4678323894611711,5.030025061595859,1.3637738869890674,1.143884217625729,0.653431639755227,0.3320142267596131,0.4932357542762476,0.15020432121062763,1.7554052291779865,3.1004931855541176,1.4507227691123867,1.110209251405992,1.3544544444943747,1.0974963782922398,1.06,0.7736009418863801,1.2489066129913997,3.1004931855541176,1.3308511928645503,1.2621557673650317,1.2634354451174115,1.2411471693277498,1.272321428571429,0.9136808374279001,2.3490263000919946,9.495200916497577,1.1072460671113469,1.1071744209564551,1.1037877622501744,1.1022367056732336,1.06,0.8868991517436381,2.3490263000919946,9.495200916497577,1.1072460671113469,1.1071744209564551,1.1037877622501744,1.1022367056732336,1.06,0.8868991517436381
+4-1*1/3/5-3-5,1.427700484964068,1.5026332005224527,1.3053345179119786,1.3617844750539394,5.049676495771837,3.4299528352608593,1.046341463414634,0.6327769347496206,0.3189630035661053,3.913104695450133,1.4345705524310464,1.52743582754401,0.3189630035661053,3.913104695450133,1.3648980801413473,1.3919720326422087,0.7535347106641501,0.6822621670910072,0.7089257016901858,0.6424025683414601,0.3189630035661053,6.444033584220755,1.4037211063273147,1.91558237404282,1.357265341526526,1.4529103808778379,0.9902366048261545,1.06,0.3189630035661053,5.003277954040213,1.4225937420791228,1.56607714823061,1.372143315351444,1.3967711966739869,0.7796875,1.06,0.1823549548412271,5.869081084660048,1.2791524624578638,1.836802513328502,1.2267973358945274,1.4429323505196348,0.9598151332431101,1.06,0.451485146071839,7.500788416635979,1.3263462989016435,1.6404892678797736,1.276865151609204,1.253751122300097,1.095511157239232,1.06
+2*4/1-0*0/1/1,1.4274635923940429,1.1476954478650019,1.33715862136099,1.0781367765985481,97.25145641896248,2050.9459422957257,1.583333333333333,0.8868991517436381,15.329141776664507,916.2105187665574,1.4274635923940429,1.2628757109224498,15.329141776664507,916.2105187665574,1.33715862136099,1.2423528619136615,0.700879179638132,0.554793939700484,0.6138576194511204,0.47124311465577795,67.71980573880745,186.82452876686926,1.2936546791165793,1.5650194765719592,1.2537286014655262,1.3808285018193502,1.417301184433164,0.7152245620506397,59.89583154382632,916.2105187665574,1.3159839134105982,1.241307402694718,1.2573436415941763,1.218605660646098,1.417301184433164,0.8868991517436381,73.46143802488011,488.0010602240201,1.157982230795274,1.1993575497517621,1.143196745638595,1.1469639858397187,1.417301184433164,0.9450672136923122,106.63747721650529,916.2105187665574,1.06,1.2303108595588834,1.0599999999999998,1.2114280933346173,1.06,0.8868991517436381
+2*2*2*6/1+2*5/1,1.4263070361642207,1.039658382463359,1.3419295111138814,1.0249534374731915,130.66200545853417,36257.348983157484,1.251269035532995,0.9,15.106741364272262,29389.13365215504,1.4263070361642207,1.1071744209564551,15.106741364272262,29389.13365215504,1.3419295111138814,1.1022367056732336,0.7212532910544175,0.4556688899897274,0.66523149299087,0.41941132632025613,94.03282450635149,2642.8569880867162,1.3076025855811357,1.3838602284909294,1.2703476432788927,1.1808548545672632,1.251269035532995,0.8233963038274796,67.00500189429067,29389.13365215504,1.3212514904027675,1.06,1.288867503580277,1.06,1.251269035532995,0.9,120.82448294361615,17341.081325898165,1.1659903389863333,1.0258929169669728,1.1238076937093935,1.0092259104987356,1.251269035532995,0.9,120.82448294361615,29389.13365215504,1.1659903389863333,1.1071744209564551,1.1238076937093935,1.1022367056732336,1.251269035532995,0.9
+4-6*6/1/5-3-5,1.425655563978521,1.1758849729210157,1.291223703701527,1.139370917669636,0.3887822564933445,3.4452528247918983,0.7796875,0.6327769347496206,0.2407413197751076,3.9320442087140175,1.5373967745406016,1.1952942581633978,0.2407413197751076,3.9320442087140175,1.4531185144720005,1.160426727096729,0.8101333090314475,0.47879408145562585,0.772216463243425,0.35843735433102597,0.4097857903950537,4.327608279335189,1.4143612787890751,1.7152328781929476,1.356688899232772,1.3626755603992735,1.06,1.06,0.308015974326713,3.526244940245352,1.43270236677277,1.34075490788629,1.3814129893078115,1.2908842947837949,0.7796875,1.06,0.19984429394298697,5.6684292193248185,1.2470790003235828,1.5427461277726517,1.1704479320042127,1.2457854946706874,0.8671289630303441,1.06,0.4097857903950537,5.6684292193248185,1.4143612787890751,1.5427461277726517,1.356688899232772,1.2457854946706874,1.06,1.06
