id,CT,GeoNgn2
16744503,+3*6/5-1*2/5/5,1.7226256324852456
23696565,+3*6-2*4*4-0-2,1.7032686579398724
26765808,+0+6-0/3-2/0-2,1.6949502665511025
28250875,+1-0*3/6-4*4-2,1.6880524868370668
28297400,+3-0*0/4-3*5-2,1.6873389306575959
20700418,+6*6+3-3*5-0-2,1.6823848982654024
28031564,+3-5*5*5-1*4-2,1.6796160942612273
20597203,+0*1+3-3*5-0-2,1.6774853961065332
28308150,+3-2*2/0-3*5-0,1.676255231842134
22109644,+3*6-4*4*4/3-2,1.6742542197136225
28030082,+3-3*5*5-2*4-2,1.673424064916181
23696593,+3*6-2*4*5-0-2,1.669601383196011
28030070,+3-3*5*5-2*2-2,1.6670525361486102
18904602,+1*6+3-2*3/0-5,1.665612596891517
16799528,+3*3*6-4*5*5-2,1.6643678469847654
28031570,+3-5*5*5-1*5-2,1.663030108221979
27131512,+3-1*3*4*4-2*3,1.6620508026019054
28249213,+1-0*1/6-5*5-2,1.6616223910514571
28249201,+1-0*1/6-4*5-2,1.6616223910514571
27833468,+1-2*3*3-1*1/3,1.6607300956164885
32197688,-0*4-1/3-4/1-2,1.6592260236665668
32204009,-0*5-1/3-4/1-2,1.6592260236665668
13127300,+3*3*6+6-3-5-5,1.658807894342902
16799549,+3*3*6-5*5*5-2,1.6566960960127142
615523,+1*5*6+0+6-4,1.6548341306787098
6072808,+4*6*6*6+6-5/3,1.6513893185923045
28697177,+1-0*3/6-2-4-5,1.6507682135204869
3221465,-0*1*1-4/1-2,1.6500690913104685
29792119,-0*1*2/6/6-4/1,1.6470980833334603
29805811,-1*2*2/6/6-4/1,1.6470980833334603
29814043,-2*2*3/6/6-4/1,1.6470980833334603
29807071,-1*2*5/6/6-4/1,1.6394474498817382
13124548,+2*4*6+6-2-4-4,1.6385836176865791
12116807,+0*2*6+6-0*5/4,1.635895716489744
1228241,+1*1*6/3/5+0*3*6,1.631965302585971
3168994,+0*1*2*6/3+6-0,1.6287732396253607
15227179,+0*0+6+6-0*5/3,1.6278554710446536
2196823,+1*1*6/3/5+1*6+6,1.627020611456779
2968229,+5-1*4-4/1-2,1.6267385171625384
28799088,+1-1*1-6*6-1/3,1.626714115871027
2960453,+2*6*6*6+6*6*6/5,1.6252597139222722
32279033,-2*6-0/6-2/0-0,1.6218032456011893
279624,+2-0/3-2/0,1.6214769930140356
12604748,+1*5*6+6-0/6-5,1.6209349519179819
12601219,+1*4*6+6-0/6-4,1.6209349519179819
2717255,+3-1*1*2/0/3,1.6186446331732864
10798719,+2*6+6+6+6-5/4,1.6174582912016673
27505521,+0-2*3/0/0-4/3,1.617076170047937
4860400,+2*6*6*6+0*6/5+6,1.611796117209975
16431084,+1+1+3+6-1*4/0,1.605950870961203
29817403,-2*3*5/6/6-4/1,1.6048478845873368
19503318,+0*2+4-5*5-4/5,1.6034495597638319
19653989,+3*6+4-4*4-0/4,1.6015399133232773
9803390,+3*6+6/3+6-4/3,1.6012914096750648
7299045,+3*6/5+0*3-4/0,1.6009043704599821
25809368,+3+3-2*3*3*3-4,1.6002274769483174
21624440,+1+3+4-1*5-4/0,1.6000010972882286
28250895,+1-0*3/6-5*5-4,1.5997785347228837
27119130,+1-1*1*5*5-1*2,1.5980570987871725
7242388,+1*6/3+5*6-4/1,1.597406655517289
2144793,+1*6/5+2*6+6+6,1.59259557428805
31307423,-2*4/0-0*5-4/1,1.5907809972635911
19680264,+4*6+6-5*6-4/5,1.5902891042662655
65756,+1*5*6+6-4,1.589088283386181
3146020,+0*0*4*6*6+6-0,1.587811355191949
3146146,+0*0*5*6*6+6-0,1.587811355191949
516372,+1*1*6/3/4/4+4*6,1.5851895227588244
2961173,+4-1*4-4/1-2,1.5846257542879814
1638218,+0*2+6-0*4*4,1.5831348303965553
21624398,+1+3+4-1*4-4/0,1.5825445350255258
28103838,+1-1*1*5-2/5-0,1.5794938675035708
18337783,+0*3+6-0*1/6/6,1.5741696423008331
24414896,+0*3-0/5-4/0-0,1.5739787647735546
31090969,-0*1*6-0/6-2/0,1.5723421744468669
5741137,+3*3*6*6*6-1*2,1.5697848741997542
19213443,+1/5+3-3*3/5-1,1.5637984161820788
27058406,+6-0*0*4*5/6-4,1.5568571001415314
7061779,+0*1/5+0*3-3*5,1.5568043120747714
25986122,+2+6-1*1*2-2*2,1.5494101344982216
1898576,+1/5+4-3/5-5,1.5473977761548285
9838976,+4*6+6/1+6-4/1,1.5434226461421727
9041290,+2*2*6+6+6-2-2,1.5403924982992416
3769713,+0*0*1*6+6+6-0,1.5365485098858167
16436003,+1+4+4+5-4*5/0,1.5355711168854314
11078545,+0*0+6+6+6-0-0,1.5353762075968342
21652948,+3+3+3-3*3-2/3,1.530446320894704
2645164,+0+1-0/4-4/0,1.5277384219477532
3145768,+0*0*3*6*6+6-0,1.5271750327842735
2973781,+5*6*6*6+6*6*6/5,1.5252714178491666
130097,+0*0+3-5/0,1.5220015709151609
78568,+2*3*6*6*6+6*6,1.5216504386279603
19416132,+0*3+1-0*1-1*3,1.5148855349075399
7334122,+6*6/1+5*6-5/1,1.5140865248005608
6662862,+0*3*3+0*3-3*4,1.51113951085481
26981154,+3-3*3*3*3/6/6,1.504006108640775
26643809,+2+2-0*2-1/0-0,1.5026088648967522
21657755,+3+4+4-3*5-5/3,1.501815290706989
76220,+4*6+4*6-4,1.5017613781408694
25796996,+1+1-1*1*1*5-4,1.4967502895059341
538319,+0*1/5+0*0-5,1.4940110247483283
