"","","","","Bên mua","","","","","","Khớp lệnh","","","","Bên bán","","","","","","","","","ĐTNN","",""
"CK","Trần","Sàn","TC","Giá 3","KL 3","Giá 2","KL 2","Giá 1","KL 1","Giá","KL","+/-","+/- (%)","Giá 1","KL 1","Giá 2","KL 2","Giá 3","KL 3","Tổng KL","Cao","Thấp","NN mua","NN bán","Room"
"AAA","9980","8680","9330","9300","79100","9310","27500","9320","12200","9330","1000","0","0","9330","3300","9340","16000","9350","12500","965300","9390","9310","31800","37250","373796888"
"AAM","10000","8740","9390","9150","800","9160","100","9370","200","9370","100","-20","-0.21","9390","100","9400","300","9500","1000","2500","9390","9370","","","5942564"
"AAT","5180","4520","4850","4850","29200","4860","6600","4870","2000","4870","200","20","0.41","4880","800","4890","6700","4900","49100","65000","4920","4860","","40","34801415"
"ABR","14400","12600","13500","12600","20400","12650","1300","13050","500","13750","100","250","1.85","13750","4900","13800","5000","13950","600","300","13750","13500","","","72000"
"ABS","6160","5360","5760","5760","27200","5770","21800","5780","16700","5780","100","20","0.35","5800","22800","5810","1000","5820","17200","348400","5840","5750","","",""
"ABT","36950","32150","34550","32650","100","34500","2400","34550","1500","","","","","36000","100","36900","100","","","","","","","","6784999"
"ACB","24950","21750","23350","23150","24600","23200","688500","23250","573600","23300","100","-50","-0.21","23300","2500","23350","560000","23400","863700","3856000","23400","23250","90","",""
"ACC","13250","11550","12400","12150","13500","12200","23100","12350","200","12350","300","-50","-0.4","12400","12600","12450","4200","12500","6800","4500","12400","12200","","",""
"ACG","40700","35400","38050","36850","3200","36900","900","37000","1000","37200","100","-850","-2.23","37200","100","37450","100","37600","100","24800","38050","36800","300","","17293463"
"ACL","12700","11100","11900","11800","14600","11850","6900","11900","4700","11900","300","0","0","12000","7500","12050","1400","12100","4900","20400","12050","11850","3600","","18615210"
"ADG","22850","19950","21400","20550","300","20600","100","20800","100","20600","200","-800","-3.74","21200","100","21300","100","21350","500","4100","20600","20400","","3275","3657791"
"ADP","20500","17900","19200","18150","200","18200","800","18250","200","","","","","19950","2700","20150","1000","20400","1000","","","","","","22848610"
"ADS","14150","12350","13250","13150","2200","13200","27800","13250","22100","13250","1100","0","0","13300","19000","13350","13800","13400","21500","179900","13450","13250","","","29057930"
"AGG","26750","23250","25000","24700","15600","24750","18900","24800","5400","24800","100","-200","-0.8","24850","6100","24900","9600","24950","8800","313300","25100","24650","","","56078426"
"AGM","6710","5850","6280","","","","","","","","","","","","","","","","","","","","","",""
"AGR","17000","14800","15900","15800","59400","15850","34100","15900","30600","15900","1000","0","0.00","15950","19700","16000","173600","16050","60900","550300","16100","15900","4300","12000","214847431"
"ANV","33150","28850","31000","30900","94300","30950","10300","31000","2000","31000","1200","0","0","31050","1400","31100","6200","31150","40800","765300","31350","30900","","23900","61118693"
"APC","10000","8740","9390","8900","200","8950","200","9000","3600","9000","2500","-390","-4.15","9290","500","9300","2400","9380","300","2900","9000","9000","","40","6808608"
"APG","12650","11050","11850","12000","30900","12050","11200","12100","24000","12150","1100","300","2.53","12150","3900","12200","84000","12250","99500","1900900","12250","11800","19000","500","152800025"
"APH","8070","7030","7550","7530","6600","7540","2300","7550","4300","7550","700","0","0","7560","4200","7570","11500","7580","14600","187000","7590","7520","3900","","175558116"
"ASG","22950","19950","21450","20250","500","20300","200","20550","900","21450","100","0","0","21450","600","21500","1000","21600","1000","14800","21450","19950","","","22025363"
"ASM","10850","9440","10150","10200","304500","10250","164500","10300","211000","10350","1600","200","1.97","10350","19500","10400","473800","10450","334500","3968600","10400","10150","57800","12900","156514017"
"ASP","5060","4400","4730","4960","2500","4970","2000","4980","2100","4980","100","250","5.29","4990","2000","5000","3200","5010","3400","23900","5010","4960","100","","5500"
"AST","54500","47450","51000","50000","5400","50100","1900","50200","2400","50500","100","-500","-0.98","50500","4900","51000","6800","52000","600","35900","50500","50100","7600","1900","1809751"
"BAF","27300","23800","25550","25500","112100","25550","41200","25600","18100","25650","900","100","0.39","25650","31200","25700","54800","25750","44700","1920900","25700","25550","","37000","71100372"
"BBC","56700","49300","53000","50600","100","50700","200","50800","100","","","","","53000","100","54800","200","54900","100","","","","","","9222638"
"BCE","6180","5380","5780","5780","20800","5790","600","5800","2300","5800","1000","20","0.35","5850","4900","5870","3200","5890","7300","101500","5850","5750","","","16668623"
"BCG","9680","8420","9050","9020","18400","9030","34800","9040","77300","9050","1000","0","0.00","9050","67300","9060","83500","9070","114300","3673700","9180","9040","100","150200","257172374"
"BCM","66200","57600","61900","62000","15200","62100","10100","62200","6600","62200","100","300","0.48","62400","5800","62500","14600","62600","3600","388300","63400","61400","35000","1200","486109592"
"BFC º","26800","23300","25050","25050","52500","25100","39700","25150","3200","25150","200","100","0.4","25200","2600","25250","6900","25300","31100","541900","25350","24300","86800","2200","26056518"
